company,fashion_index_score,ticker,yahoo_name,market_cap,revenue,ebitda,debt,currency,yahoo_resolution_note
Burlington,14,BURL,"Burlington Stores, Inc.",19980026178,11566910000,1305030000,6005137000,USD,mapped ticker
ALDO,14,,,,,,,,no public Yahoo ticker found
Brunello Cucinelli,14,BC.MI,Brunello Cucinelli S.p.A.,5627680000,1407951000,419554000,1187356000,EUR,mapped ticker
Chico's,14,,,,,,,,no public Yahoo ticker found
TOPVALU COLLECTION,13,,,,,,,,no public Yahoo ticker found
TJ Maxx,13,TJX,"The TJX Companies, Inc.",173581114866,60372000000,8620000000,13489000000,USD,mapped ticker
Anthropologie,13,URBN,"Urban Outfitters, Inc.",5907344332,6165376000,730342000,1225566000,USD,mapped ticker
Free People,13,URBN,"Urban Outfitters, Inc.",5907344332,6165376000,730342000,1225566000,USD,mapped ticker
Urban Outfitters,13,URBN,"Urban Outfitters, Inc.",5907344332,6165376000,730342000,1225566000,USD,mapped ticker
Steve Madden,13,SHOO,"Steven Madden, Ltd.",2738282346,2534109000,123460000,486138000,USD,mapped ticker
La Redoute,13,,,,,,,,no public Yahoo ticker found
Lands' End,12,LE,"Lands' End, Inc.",351369500,1335146000,74637000,245909000,USD,mapped ticker
Kaufland,12,,,,,,,,no public Yahoo ticker found
Ito-Yokado,11,3382.T,"Seven & i Holdings Co., Ltd.",4434957554331,10430268000000,1003945000000,4370155000000,JPY,mapped ticker
MFB,11,,,,,,,,no public Yahoo ticker found
Falabella,11,FALABELLA.SN,Falabella S.A.,13673203228050,13304390450000,3393105307000,2483611729000,CLP,mapped ticker
Chanel,11,,,,,,,,no public Yahoo ticker found
Helly Hansen,30,,,,,,,,no public Yahoo ticker found
CELINE,30,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",223114031867,80807000000,25850000000,36731000000,EUR,mapped ticker
JD Sports,29,JD.L,JD Sports Fashion Plc,3243288585,12366000000,1820000000,3711000000,GBP,mapped ticker
Matalan,29,,,,,,,,no public Yahoo ticker found
Woolworths South Africa,29,,,,,,,,no public Yahoo ticker found
Dior,29,CDI.PA,Christian Dior SE,76710578616,80807000000,25896000000,36746000000,EUR,mapped ticker
Kathmandu,29,KMD.NZ,KMD Brands Limited,75933707,1012815000,43494000,374875000,NZD,mapped ticker
Louis Vuitton,29,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",223114031867,80807000000,25850000000,36731000000,EUR,mapped ticker
Morrisons,29,,,,,,,,no public Yahoo ticker found
Marc Jacobs,28,MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",223114031867,80807000000,25850000000,36731000000,EUR,mapped ticker
Muji,28,,,,,,,,no public Yahoo ticker found
Asda,28,,,,,,,,no public Yahoo ticker found
Hermes,28,RMS.PA,Hermès International Société en commandite par actions,170148011435,16001000000,7756000000,2346000000,EUR,mapped ticker
Under Armour,28,UAA,"Under Armour, Inc.",2638326982,4975792000,56505000,1688520000,USD,mapped ticker
Dick's Sporting Goods,27,DKS,"DICK'S Sporting Goods, Inc.",20001259822,17215120000,1694866000,7746643000,USD,mapped ticker
Very,27,,,,,,,,no public Yahoo ticker found
Gymshark,27,,,,,,,,no public Yahoo ticker found
Moncler,27,MONC.MI,Moncler S.p.A.,13916696892,3132128000,1266661000,1128458000,EUR,mapped ticker
Nordstrom,26,,,,,,,,no public Yahoo ticker found
Decathlon,26,,,,,,,,no public Yahoo ticker found
Ted Baker,26,,,,,,,,no public Yahoo ticker found
Amazon,26,AMZN,"Amazon.com, Inc.",2884935587599,742776000000,188438000000,209888000000,USD,mapped ticker
Lidl,25,,,,,,,,no public Yahoo ticker found
Paris,25,,,,,,,,no public Yahoo ticker found
Desigual,25,,,,,,,,no public Yahoo ticker found
Jack Wolfskin,25,,,,,,,,no public Yahoo ticker found
Carter's,25,CRI,"Carter's, Inc.",1243138839,2898426000,203324000,1212122000,USD,mapped ticker
boohoo,24,DEBS.L,boohoo group plc,270946135,701800000,-117300000,217200000,GBP,mapped ticker
PrettyLittleThing,24,DEBS.L,boohoo group plc,270946135,701800000,-117300000,217200000,GBP,mapped ticker
Salvatore Ferragamo,24,SFER.MI,Salvatore Ferragamo S.p.A.,1226007565,985908000,77451000,701294000,EUR,mapped ticker
El Corte Ingles,24,,,,,,,,no public Yahoo ticker found
HEMA,24,,,,,,,,no public Yahoo ticker found
Carrefour,24,CA.PA,Carrefour SA,11994044655,84024000000,4672000000,5259000000,EUR,mapped ticker
Versace,24,CPRI,Capri Holdings Limited,2339147409,4326000000,190000000,1311000000,USD,mapped ticker
Michael Kors,23,CPRI,Capri Holdings Limited,2339147409,4326000000,190000000,1311000000,USD,mapped ticker
Walmart,23,WMT,Walmart Inc.,1048982351774,713163000000,46471000000,67095000000,USD,mapped ticker
Prisma,22,,,,,,,,no public Yahoo ticker found
Disney,22,DIS,The Walt Disney Company,182608266241,95716000000,19170000000,46640000000,USD,mapped ticker
Cotton On,22,,,,,,,,no public Yahoo ticker found
Aritzia,22,ATZ.TO,Aritzia Inc.,16951938757,3410751000,729281000,1039107000,CAD,mapped ticker
Sandro,22,,,,,,,,no public Yahoo ticker found
REI,22,,,,,,,,no public Yahoo ticker found
American Eagle,21,AEO,"American Eagle Outfitters, Inc.",2823468808,5547236000,550005000,1700323000,USD,mapped ticker
Cortefiel,21,,,,,,,,no public Yahoo ticker found
Fjallraven,40,,,,,,,,no public Yahoo ticker found
Zalando,40,ZAL.DE,Zalando SE,5428991974,12346200000,836200000,1441600000,EUR,mapped ticker
Patagonia,40,,,,,,,,no public Yahoo ticker found
Primark,40,,,,,,,,no public Yahoo ticker found
Big W,39,WOW.AX,Woolworths Group Limited,41717612406,70282000000,4101000000,17385000000,AUD,mapped ticker
Armani,38,,,,,,,,no public Yahoo ticker found
Burberry,38,BRBY.L,Burberry Group plc,4208840212,2407000000,454000000,1546000000,GBP,mapped ticker
Marks & Spencer,38,MKS.L,Marks and Spencer Group plc,6837303994,15278100000,913700000,2944500000,GBP,mapped ticker
Champion,38,,,,,,,,no public Yahoo ticker found
Lacoste,38,,,,,,,,no public Yahoo ticker found
Hanes,38,,,,,,,,no public Yahoo ticker found
Bonprix,37,,,,,,,,no public Yahoo ticker found
Target,37,TGT,Target Corporation,58538776475,104780000000,8346000000,20290000000,USD,mapped ticker
Columbia Sportswear,37,COLM,Columbia Sportswear Company,3189651197,3397912000,288585000,477689000,USD,mapped ticker
Next,36,NXT.L,NEXT plc,15005551347,6901300000,1624500000,1808700000,GBP,mapped ticker
Brooks Sport,36,,,,,,,,no public Yahoo ticker found
Dr. Martens,35,DOCS.L,Dr. Martens plc,599659642,785000000,125000000,397100000,GBP,mapped ticker
Mammut,35,,,,,,,,no public Yahoo ticker found
ALDI SOUTH,34,,,,,,,,no public Yahoo ticker found
Miu Miu,34,,,,,,,,no public Yahoo ticker found
Prada,34,1913.HK,Prada S.p.A.,88791192800,5717521000,2120396000,4817885000,EUR,mapped ticker
Fruit of the Loom,34,,,,,,,,no public Yahoo ticker found
Russell Athletic,34,,,,,,,,no public Yahoo ticker found
Abercrombie & Fitch,33,ANF,Abercrombie & Fitch Co.,3782194903,5266292000,878168000,1168095000,USD,mapped ticker
Hollister Co.,33,ANF,Abercrombie & Fitch Co.,3782194903,5266292000,878168000,1168095000,USD,mapped ticker
Bally,33,,,,,,,,no public Yahoo ticker found
Wrangler,33,,,,,,,,no public Yahoo ticker found
Ermenegildo Zegna,33,ZGN,Ermenegildo Zegna N.V.,3336910949,1916947000,439924000,977778000,EUR,mapped ticker
