ticker,region,currency,brands,brand_count,score_avg,score_min,score_max,market_cap,revenue,ebitda,debt,mcap_revenue,ev_revenue,ev_ebitda
GOOS,US-listed,USD,Canada Goose,1,16,16,16,1089034378.0,1459500000.0,207400000.0,753500000.0,0.7461694950325454,1.2624421911613566,8.883965178399228
HM-B.ST,Europe ex-UK,SEK,H&M,1,71,71,71,262993436293.0,228285000000.0,39995000000.0,77547000000.0,1.1520399338239482,1.4917337376218323,8.514575229228653
ITX.MC,Europe ex-UK,EUR,Bershka; Massimo Dutti; Pull&Bear; Stradivarius; Zara,5,50,50,50,157544903125.0,39864173000.0,11660075000.0,5457000000.0,3.9520424298028205,4.0889322631878,13.979490108339784
JD.L,UK,GBP,JD Sports,1,29,29,29,3243288585.0,12366000000.0,1820000000.0,3711000000.0,0.26227467127607956,0.5623717115477923,3.821037684065934
KER.PA,Europe ex-UK,EUR,Balenciaga; Bottega Veneta; SAINT LAURENT; Gucci,4,58.25,51,80,28527624660.0,14675000000.0,3120000000.0,18149000000.0,1.943960794548552,3.1806899257240207,14.960456621794872
KMD.NZ,Australia/NZ,NZD,Kathmandu,1,29,29,29,75933707.0,1012815000.0,43494000.0,374875000.0,0.0749729289159422,0.4451046903926186,10.364848185956683
KSS,US-listed,USD,Kohl's,1,17,17,17,1645631193.0,15527000000.0,1324000000.0,6630000000.0,0.10598513511946932,0.5329832674051652,6.250476731873111
LE,US-listed,USD,Lands' End,1,12,12,12,351369500.0,1335146000.0,74637000.0,245909000.0,0.26316934627374083,0.44735070172101027,8.002445167946194
LEVI,US-listed,USD,Levi Strauss & Co,1,60,60,60,8568804472.0,6497700000.0,949100000.0,2316600000.0,1.3187442436554473,1.6752703990642843,11.469186041513012
LULU,US-listed,USD,Lululemon,1,52,52,52,15442344751.0,11102600000.0,2706843000.0,1798441000.0,1.3908764389422297,1.5528602085097185,6.36933348221526
M,US-listed,USD,Macy's,1,7,7,7,5193463915.0,22621000000.0,1840000000.0,5204000000.0,0.22958595619114983,0.45963767804252686,5.650795605978261
MC.PA,Europe ex-UK,EUR,CELINE; Louis Vuitton; Marc Jacobs; Fendi,4,36.25,28,58,223114031867.0,80807000000.0,25850000000.0,36731000000.0,2.761073073706486,3.215625278342223,10.052032180541586
MKS.L,UK,GBP,Marks & Spencer,1,38,38,38,6837303994.0,15278100000.0,913700000.0,2944500000.0,0.44752318639097793,0.6402500306975344,10.705706461639489
